x-coordinate,y-coordinate,Similarity_score
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/01efaa68-c1ea-4091-8a56-efd0d6d29238.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/010deb11-71d2-4f5d-b726-09f6b538f5f8.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/019ac5fb-65a0-44b9-8bb8-79c933fb2e56.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00b0ada8-3e09-4339-b742-9af84ce5ca9c.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00a832ec-8abd-4249-8b7d-379e4db17fbd.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/016f5573-f40b-4c21-85a2-ae4b95ccdbb0.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00f0b0d6-c165-48f1-bf77-479ae33e8181.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0123f26e-369e-41f9-9cb1-48e160b5fc72.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00f7b39c-f5bc-49a0-9bd7-3ab9fb7f8d73.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/016ad6b3-7275-4545-87c0-0949f7a77798.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00f5ff12-5a5e-48af-8b67-03d7426ee22f.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0044708a-9619-4b50-8af6-bf0b2587591a.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/014ea4ef-96fc-47bc-b88f-b7cf9a1dd4e9.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/021b1542-b56f-4752-8061-729eddb4e533.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/000ecbf3-ca20-4fb4-a8b2-530e9dc33bb6.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/023d15ae-2ed3-4286-b571-946b0839d930.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0285a0ae-565a-4c69-9fcc-7f989da31cac.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0237a0b0-7d3c-4d93-94be-9ffd068b086f.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/02700059-3ce7-42c7-b592-6c56a94c3611.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0059e383-e408-401e-af78-f4f4b2f6a8d3.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00dec86e-f7ed-4e52-9cb4-45970477c29a.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/01a662cf-33e6-4175-b239-54f95f941dc9.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/00b0f3be-1988-42e4-9bd9-1f195fd8337e.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/02a51d15-9b52-4910-b261-3eae15b53078.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0147f2a6-34e3-4833-9fb5-b2a9c400c7ee.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0066b60d-486e-4d20-8abc-51abd5f98f48.json,0.5
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/01818791-7051-4a43-ba98-0a708655dbbe.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0070ce91-098e-4a43-9121-ccb67c273a70.json,0.6363636363636364
data/splits/dir_001/0241b837-90e5-4b97-b55b-e49127bd802f.json,data/splits/dir_001/0121b1ee-dca9-463c-a9db-234b77e2d5be.json,0.6363636363636364
